review,rating
a below evarage swarma wrap at this price range,3.0
a bit cold and dry and even after mentioning the spice level was high,3.0
a bit costly but satisfied,4.0
a bit messy,3.0
a bit more gravy could be nice,4.0
a bit oily but good,3.0
a bit salty than previous times but good all in all,4.0
a burger was missing,2.0
a cockroach inside my pizza,1.0
a dokanen khabar odar diben na nosto khabar dey birani odar korchila nosto birani diyeche,1.0
a great dual chicken cheese burger with the perfect spicy taste,5.0
a item is missing,1.0
a item was missing,4.0
a lady came to deliver my food the lady was very well behaved,5.0
a large number of cookies broken in a jar,1.0
a little oily but teast good,5.0
a little pricy but very tasty!,5.0
a little too spicy but good stuff,5.0
a minimum size for tk,2.0
a order dici restrurent order ta delivery diece te ami peyece ato late hole foodpanda die order die ki benefit,2.0
a ordered a pankha wings box and one wing was missing rest was good,3.0
a parcel was missing,1.0
a portion of the order was missiing already reported it but received no assistance,3.0
a pot of trash which took them more than hour to deliver,1.0
a rokom pocha restaurant raker kuno mana hoi na,1.0
a solid option for decent burgers,5.0
a to z কম্বো অর্ডার করেছিলাম একে তো কোয়ান্টিটি একদম কম তারপর আবার টেস্ট পুরাই বাজে খাবার ঠান্ডা সব আইটেম ও ঠিকঠাক দেয় নি এই রেস্টুরেন্ট থেকে আর কখনও অর্ডার করবো না অযথা টাকা নষ্ট হলো,1.0
a total fraud restaurent i have ordered morog polao but they gave me chicken jhal curry with polao and also the chicken is like dead chicken hard and burnt not a single bite i can ate,1.0
a very decent chicken burger and i was also very impressed with the sealed pack of extra mayonnaise they sent it was like something youd get off a lufthansa business class meal,5.0
a very small patty a sad burger,1.0
aaa,4.0
aader service ar valo hobe namasud o valo hoai but pizzaology service valo hoai na,1.0
aage quantity onujai beshi dito akhon kom dise chunk why ?? delivery was fast,3.0
aage vlo chilo but night a order dile pora chiken dise,2.0
aah overall good the lemon juice from my package was missing,3.0
aajker biryani te rotten meat deya chilosooooo disgusting,1.0
aau not taste dont order,1.0
ab has maintained the same quality but have not improved the bun or burger size for the price paid,3.0
abdullahalmamungmailcomm,5.0
abit pricey but lovely taste,5.0
abit too soft but i liked it,4.0
about to rotten !!!,2.0
above average,4.0
absolute disaster they should sell boiled egg on the roadside not biriyani or anything else more of that they are known to be frauding with the customers regarding food quality for long time,1.0
absolute garage ordered poutine recieved box full of over fried potatoes and a sprinkle of meat quantity of meat was laughable gravy was disgusting as for taste i had better jhalmuri at home,1.0
absolute trash,1.0
absolutely amazing,5.0
absolutely amazing beef khicuri was that,5.0
absolutely amazing experience everytime i order here!,5.0
absolutely amazing food biryani is really good buffalo wings is also,5.0
absolutely atrociousby far the worst ive ever had no cheesejust some for showonly one layers of pasta which was soft and probably very oldthe sauce was absolutely disgustingcapsicum tasted best,1.0
absolutely average leveli thought it would be much better also the quantity was a little less i think for sure,2.0
absolutely bad food biriyani te chicken ta basi silo,1.0
absolutely delicious,4.75
absolutely delicious madchef never disaapoints,5.0
absolutely delicious ramen! tantanmen ramen is the best one here second best has to be red chili,5.0
absolutely disappointed with the lunch no gravy and they dont serve proper salad as before i am mortified by what i received for the money spent,1.0
absolutely disgusting have a bad experince ever,1.0
absolutely disgusting patty was over cooked tasted like rubber it was obviously re cooked from left over there was no cheese mad chef was the burger shop to go to but not anymore,1.0
absolutely disgusting tasteless and the portion size was very low,1.0
absolutely disgusting the coffe was half filled and they didnt gave enough food waste of money,1.0
absolutely disgusting they served the burnt food,1.0
absolutely fantastic as always!,4.0
absolutely garbage ordered x m pizzas taka cold not cooked all dough no toppings olive chopped up and spread across the whole pizza absolutely disgraceful con artists!,1.0
absolutely good ive ordered their loaded sausage blast though the box looks like too short but its amount is really enough for a person,5.0
absolutely great food,5.0
absolutely great!,5.0
absolutely horrible grill and chap grill was sooo small in size and it tastes bad rating,1.0
absolutely horribly made abhorrent and overpriced food i dont know why i was suggested this restaurant ruined my day,1.0
absolutely love the cheesecake!,5.0
absolutely loved it! the buns were so soft and the sauce was delicious the family loved the food,5.0
absolutely loved it! the roast beef sandwich and brownie frappe was amazing as usual! the quality has been consistent since my first visit to them in,5.0
absolutely mind blowingly awesome! loved every bit of it,5.0
absolutely recommend! best tehari i had in ages!,5.0
absolutely rubbish beef shish kebab horrible taste i ordered but the tiny portion one small box that i received didnt seem even enough for one disgusting absolute rip off,1.0
absolutely satisfied with the quality of the food quantity,5.0
